no.fibres,mean.prob,median.prob,sd.prob,Q3,Q1,margin,ci.lower,ci.upper
309,2.3563546840940295e-7,2.3788809887367482e-8,5.162539204134051e-7,1.378535220113922e-7,8.682506882887192e-21,3.203597474252058e-8,2.035994936668824e-7,2.676714431519235e-7
310,2.432963636975251e-7,2.5084950142690214e-8,5.312097780947333e-7,1.4419319145938782e-7,1.0535471318733841e-20,3.2964055789436584e-8,2.1033230790808855e-7,2.7626041948696173e-7
311,2.511693016760292e-7,2.6443757025407233e-8,5.465158687887507e-7,1.5072051230901966e-7,1.2769975736005727e-20,3.3913870435856334e-8,2.1725543124017288e-7,2.8508317211188556e-7
312,2.592590926066082e-7,2.7867851175269368e-8,5.621781764473259e-7,1.5709220374164337e-7,1.546169593195417e-20,3.4885790014031946e-8,2.2437330259257626e-7,2.9414488262064014e-7
313,2.67570630383393e-7,2.9359944087524214e-8,5.782027392995037e-7,1.6314499934882333e-7,1.8700739531097156e-20,3.588018922436862e-8,2.316904411590244e-7,3.0345081960776164e-7
314,2.7610889347130344e-7,3.092284051266719e-8,5.945956495683129e-7,1.6939645373524683e-7,2.2594286738161462e-20,3.689744611785127e-8,2.392114473534522e-7,3.130063395891547e-7
315,2.8487894584525013e-7,3.2559440893782246e-8,6.113630531798673e-7,1.7585185492617508e-7,2.726969361841917e-20,3.793794207799286e-8,2.4694100376725727e-7,3.22816887923243e-7
316,2.9388593792999233e-7,3.427274384129907e-8,6.28511149465155e-7,1.825165941437718e-7,3.287813523476898e-20,3.900206180232904e-8,2.5488387612766327e-7,3.328879997323214e-7
317,3.03135107540398e-7,3.6064686187595985e-8,6.460461908548027e-7,1.893961668690398e-7,3.95988782715683e-20,4.0090193283476856e-8,2.630449142569211e-7,3.432253008238749e-7
318,3.126317808218714e-7,3.768176902884464e-8,6.639744825671662e-7,1.964961738946929e-7,4.764428693024725e-20,4.120272778977928e-8,2.7142905303209217e-7,3.538345086116507e-7
319,3.223813731906694e-7,3.933443688904592e-8,6.823023822900199e-7,2.0382232236851168e-7,5.726568215474867e-20,4.234005984555256e-8,2.8004131334511686e-7,3.6472143303622194e-7
320,3.323893902739112e-7,4.125283133328171e-8,7.010362998563038e-7,2.1243256415227925e-7,6.876019293480918e-20,4.350258721096479e-8,2.8888680306294644e-7,3.75891977484876e-7
321,3.426614288489608e-7,4.327913697935947e-8,7.201826969141487e-7,2.2188749892137201e-07,8.247875988004951e-20,4.4690710861559476e-8,2.9797071798740136e-7,3.8735213971052026e-7
